Ligand1,Ligand2,Exp.,FEP,FEP Error,CCC,CCC Error,Solvation,Solvation Error
CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402744_300,1.96,2.33,0.13,2.15,1.39,N/A,N/A
CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402745_200,1.72,1.75,0.13,1.58,1.64,N/A,N/A
CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402743_42,0.79,0.43,0.11,1.0,1.56,N/A,N/A
CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402764_90,1.25,1.06,0.1,1.23,1.38,N/A,N/A
CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402760_1,-1.42,-1.94,0.17,-2.73,1.91,N/A,N/A
CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402742_23,0.44,-0.97,0.12,-0.58,1.91,N/A,N/A
CHEMBL3402753_200,CHEMBL3402747_3400,1.68,3.92,0.09,4.42,0.54,N/A,N/A
CHEMBL3402753_200,CHEMBL3402761_1,-3.14,-2.09,0.16,-2.53,0.49,N/A,N/A
CHEMBL3402753_200,CHEMBL3402755_4200,1.8,1.63,0.04,1.3,0.54,N/A,N/A
CHEMBL3402753_200,CHEMBL3402750_400,0.41,0.65,0.06,0.91,0.3,N/A,N/A
CHEMBL3402759_5.7,CHEMBL3402757_6.5,0.08,0.12,0.22,-0.08,1.1,N/A,N/A
CHEMBL3402759_5.7,CHEMBL3402763_90,1.63,1.02,0.27,1.35,1.44,N/A,N/A
CHEMBL3402759_5.7,CHEMBL3402758_10,0.33,-0.41,0.19,-0.54,1.44,N/A,N/A
CHEMBL3402747_3400,CHEMBL3402744_300,-1.44,-2.15,0.15,-2.11,1.09,N/A,N/A
CHEMBL3402747_3400,CHEMBL3402749_500,-1.14,-1.76,0.09,-1.74,0.37,N/A,N/A
CHEMBL3402747_3400,CHEMBL3402751_2100,-0.29,-1.55,0.08,-1.5,0.36,N/A,N/A
CHEMBL3402747_3400,CHEMBL3402752_30000,1.29,-0.95,0.09,-0.57,1.09,N/A,N/A
CHEMBL3402747_3400,CHEMBL3402755_4200,0.13,-3.14,0.09,-3.12,0.49,N/A,N/A
CHEMBL3402744_300,CHEMBL3402745_200,-0.24,-0.94,0.08,-0.56,1.35,N/A,N/A
CHEMBL3402744_300,CHEMBL3402752_30000,2.73,1.98,0.21,1.54,1.2,N/A,N/A
CHEMBL3402744_300,CHEMBL3402756_2.7,-2.79,-4.04,0.23,-4.14,1.39,N/A,N/A
CHEMBL3402744_300,CHEMBL3402757_6.5,-2.27,-4.28,0.24,-4.25,1.23,N/A,N/A
CHEMBL3402745_200,CHEMBL3402743_42,-0.92,-0.8,0.19,-0.58,1.56,N/A,N/A
CHEMBL3402745_200,CHEMBL3402742_23,-1.28,-3.01,0.24,-2.16,1.64,N/A,N/A
CHEMBL3402745_200,CHEMBL3402748_5300,1.94,1.42,0.18,1.07,0.37,N/A,N/A
CHEMBL3402745_200,CHEMBL3402752_30000,2.97,2.09,0.19,2.1,1.2,N/A,N/A
CHEMBL3402745_200,CHEMBL3402756_2.7,-2.55,-3.06,0.23,-3.57,1.59,N/A,N/A
CHEMBL3402761_1,CHEMBL3402755_4200,4.94,3.59,0.18,3.83,0.5,N/A,N/A
CHEMBL3402761_1,CHEMBL3402754_40,2.19,2.5,0.17,2.65,0.73,N/A,N/A
CHEMBL3402761_1,CHEMBL3402760_1,0.0,0.1,0.23,-0.04,1.16,N/A,N/A
CHEMBL3402761_1,CHEMBL3402762_1,0.0,-0.86,0.26,-1.55,1.16,N/A,N/A
CHEMBL3402750_400,CHEMBL3402749_500,0.13,1.68,0.09,1.77,0.3,N/A,N/A
CHEMBL3402750_400,CHEMBL3402748_5300,1.53,1.73,0.13,1.9,0.27,N/A,N/A
CHEMBL3402750_400,CHEMBL3402751_2100,0.98,2.01,0.06,2.01,0.28,N/A,N/A
CHEMBL3402743_42,CHEMBL3402758_10,-0.85,-4.61,0.61,-3.56,1.91,N/A,N/A
CHEMBL3402743_42,CHEMBL3402762_1,-2.21,-5.92,0.73,-5.24,1.58,N/A,N/A
CHEMBL3402743_42,CHEMBL3402760_1,-2.21,-4.24,0.46,-3.73,1.66,N/A,N/A
CHEMBL3402743_42,CHEMBL3402742_23,-0.36,-1.6,0.18,-1.58,1.27,N/A,N/A
CHEMBL3402743_42,CHEMBL3402764_90,0.45,0.48,0.06,0.23,1.46,N/A,N/A
CHEMBL3402743_42,CHEMBL3402763_90,0.45,-1.1,0.19,-1.67,1.38,N/A,N/A
CHEMBL3402743_42,CHEMBL3402756_2.7,-1.63,-2.35,0.72,-2.99,1.91,N/A,N/A
CHEMBL3402752_30000,CHEMBL3402754_40,-3.92,-3.65,0.11,-3.73,0.73,N/A,N/A
CHEMBL3402752_30000,CHEMBL3402751_2100,-1.58,-0.94,0.08,-0.93,0.36,N/A,N/A
CHEMBL3402755_4200,CHEMBL3402754_40,-2.76,-1.1,0.07,-1.18,0.54,N/A,N/A
CHEMBL3402758_10,CHEMBL3402742_23,0.49,1.86,0.44,1.99,1.6,N/A,N/A
CHEMBL3402758_10,CHEMBL3402760_1,-1.36,-0.6,0.1,-0.17,1.91,N/A,N/A
CHEMBL3402758_10,CHEMBL3402756_2.7,-0.78,0.21,0.1,0.57,1.37,N/A,N/A
CHEMBL3402749_500,CHEMBL3402748_5300,1.4,0.02,0.09,0.13,0.37,N/A,N/A
CHEMBL3402757_6.5,CHEMBL3402756_2.7,-0.52,0.29,0.13,0.11,1.23,N/A,N/A
CHEMBL3402762_1,CHEMBL3402760_1,0.0,1.52,0.1,1.51,1.58,N/A,N/A
CHEMBL3402742_23,CHEMBL3402763_90,0.81,-0.1,0.09,-0.1,1.44,N/A,N/A
CHEMBL3402742_23,CHEMBL3402756_2.7,-1.27,-2.8,0.37,-1.41,1.91,N/A,N/A
CHEMBL3402748_5300,CHEMBL3402751_2100,-0.55,0.17,0.13,0.11,0.36,N/A,N/A
CHEMBL3402741_400,CHEMBL3402763_90,-0.88,-0.27,0.1,-0.39,1.36,N/A,N/A
CHEMBL3402741_400,CHEMBL3402756_2.7,-2.96,-1.39,0.26,-1.71,1.46,N/A,N/A
CHEMBL3402741_400,CHEMBL3402764_90,-0.88,1.07,0.26,1.51,1.46,N/A,N/A
CHEMBL3402763_90,CHEMBL3402764_90,0.0,2.27,0.19,1.91,1.38,N/A,N/A
