"Title","glide gscore","exp dg"
"165",-12.5549129780801003,-9.2353400000000008
"234",-12.3486492963429999,-10.3477999999999994
"215",-12.2828178108063995,-10.5996000000000006
"57",-12.2806559798773005,-10.6737000000000002
"290",-12.2843642327720008,-10.5656999999999996
"155",-12.0601513316862992,-10.5032999999999994
"163",-12.0351370190220006,-11.0103000000000009
"67",-11.9289638213545999,-10.1716999999999995
"235",-11.8390659442348998,-10.1229999999999993
"1",-11.7693770069334995,-11.3247000000000000
"156",-11.7356766647118000,-9.7361900000000006
"252",-11.7317679459372002,-9.7123299999999997
"231",-11.6921962980275005,-10.0228000000000002
"42",-11.6600075403601000,-8.9396900000000006
"338",-11.6586812166996996,-10.7584999999999997
"206",-11.6493227059304996,-10.1229999999999993
"254",-11.5752065458491007,-9.5497300000000003
"289",-11.5358465765909006,-10.9139999999999997
"167",-11.5162959281424992,-10.6737000000000002
"15",-11.4893786502320996,-11.0462000000000007
"227",-11.4856813368706003,-10.7584999999999997
"256",-11.4798160484850005,-10.6737000000000002
"43",-11.4210670925240994,-8.6994600000000002
"35",-11.3134186600898996,-7.1542800000000000
"251",-11.2953957105948000,-10.2436000000000007
"41",-11.2393460183834009,-9.7870100000000004
"54",-11.2330619166045000,-9.3094999999999999
"23",-11.2173745260719002,-7.0674200000000003
"336",-11.2154266603814001,-9.8234800000000000
"61",-11.0549518600253993,-10.1075999999999997
"7a",-10.6719541115684002,-9.9970700000000008
"164",-10.6909597780068992,-6.7647599999999999
"25",-10.5820850129240007,-10.2832000000000008
"266",-10.5782951784267993,-10.5336999999999996
"237",-10.3730553967441992,-9.5497300000000003
"224",-10.2102570074286003,-9.6601300000000005
"31",-10.0762986983736997,-8.8423499999999997
"84",-10.0701478953125996,-7.5754500000000000
"124",-9.9900158135858206,-10.1229999999999993
"50",-9.9235095513437592,-9.6969399999999997
"30",-9.8154496902425397,-10.5656999999999996
"7b",-9.5897003214527992,-7.3945100000000004
