Ligand1,Ligand2,Exp.,FEP,FEP Error,CCC,CCC Error,Solvation,Solvation Error
SHP099-1/Example 7,Example 8,0.04,-0.49,0.17,-0.59,0.86,N/A,N/A
SHP099-1/Example 7,Example 14,-0.03,0.13,0.38,-0.11,1.1,N/A,N/A
SHP099-1/Example 7,Example 22,0.51,0.19,0.12,0.48,1.09,N/A,N/A
SHP099-1/Example 7,Example 2,1.48,1.27,0.09,1.34,1.0,N/A,N/A
SHP099-1/Example 7,Example 1,0.76,0.46,0.11,0.13,1.47,N/A,N/A
SHP099-1/Example 7,Example 30,0.6,0.58,0.13,0.39,0.9,N/A,N/A
SHP099-1/Example 7,Example 5,2.19,3.46,0.18,3.12,1.25,N/A,N/A
SHP099-1/Example 7,Example 28,1.3,1.55,0.1,1.19,1.09,N/A,N/A
SHP099-1/Example 7,10.0,2.6,2.12,0.07,1.95,1.26,N/A,N/A
SHP099-1/Example 7,Example 23,1.01,1.17,0.09,0.98,0.97,N/A,N/A
SHP099-1/Example 7,Example 26,0.79,-0.76,0.14,0.26,1.47,N/A,N/A
SHP099-1/Example 7,Example 25,0.88,1.44,0.15,1.6,1.11,N/A,N/A
SHP099-1/Example 7,Example 24,0.68,0.74,0.13,1.12,0.88,N/A,N/A
Example 22,Example 23,0.5,0.57,0.07,0.5,0.88,N/A,N/A
Example 22,7.0,2.16,-0.49,0.28,-0.13,1.09,N/A,N/A
Example 29,Example 9,-1.17,-3.39,0.13,-2.89,0.9,N/A,N/A
Example 29,11.0,1.27,0.86,0.41,0.36,0.9,N/A,N/A
11.0,Example 25,-2.52,-0.61,0.17,-1.18,1.47,N/A,N/A
11.0,Example 6,-2.72,-4.37,0.32,-4.37,1.1,N/A,N/A
11.0,4.0,0.53,1.17,0.24,0.55,1.06,N/A,N/A
11.0,7.0,-0.72,-3.12,0.42,-2.43,1.47,N/A,N/A
4.0,Example 5,-1.74,-0.27,0.18,-0.21,1.2,N/A,N/A
4.0,Example 27,-2.7,-2.43,0.08,-2.71,1.11,N/A,N/A
4.0,SHP836-2,-0.89,-1.39,0.08,-1.8,1.2,N/A,N/A
Example 2,Example 23,-0.46,-0.8,0.14,-0.36,0.97,N/A,N/A
Example 2,Example 1,-0.71,-0.86,0.05,-1.2,1.0,N/A,N/A
Example 2,Example 4,0.08,0.93,0.09,0.9,0.77,N/A,N/A
Example 14,7.0,2.7,0.37,0.16,0.46,1.1,N/A,N/A
Example 14,6.0,1.75,0.4,0.17,0.07,0.99,N/A,N/A
Example 26,SHP836-2,2.25,0.41,0.19,1.26,1.25,N/A,N/A
Example 26,Example 6,-0.11,-1.76,0.26,-1.85,1.1,N/A,N/A
Example 26,Example 25,0.09,1.08,0.17,1.34,1.47,N/A,N/A
SHP836-2,Example 5,-0.85,1.31,0.17,1.59,1.25,N/A,N/A
SHP836-2,Example 27,-1.81,-1.07,0.07,-0.91,1.11,N/A,N/A
Example 6,Example 8,-0.64,1.4,0.14,1.0,0.86,N/A,N/A
Example 6,Example 25,0.2,3.04,0.18,3.19,0.76,N/A,N/A
Example 6,6.0,1.04,1.38,0.19,1.54,0.76,N/A,N/A
Example 1,Example 24,-0.09,0.75,0.13,0.99,1.09,N/A,N/A
Example 1,6.0,0.96,-0.03,0.07,-0.18,0.87,N/A,N/A
Example 1,7.0,1.91,0.96,0.31,0.21,1.47,N/A,N/A
Example 1,Example 4,0.79,1.95,0.08,2.11,1.06,N/A,N/A
Example 1,Example 3,0.77,1.62,0.11,1.46,0.82,N/A,N/A
3.0,Example 9,-3.33,-2.97,0.17,-3.19,0.82,N/A,N/A
3.0,Example 3,-2.75,-1.35,0.09,-1.13,0.82,N/A,N/A
Example 9,Example 30,-0.36,0.58,0.12,0.86,0.9,N/A,N/A
Example 8,Example 30,0.56,1.4,0.12,0.98,0.86,N/A,N/A
Example 8,Example 4,1.51,2.9,0.15,2.83,0.86,N/A,N/A
7.0,10.0,-0.08,1.22,0.33,1.6,1.26,N/A,N/A
Example 24,Example 28,0.62,-0.61,0.24,0.07,1.09,N/A,N/A
Example 24,Example 30,-0.08,-0.84,0.14,-0.73,0.79,N/A,N/A
Example 24,Example 23,0.34,0.03,0.1,-0.14,0.87,N/A,N/A
Example 28,6.0,0.43,-1.57,0.17,-1.24,0.99,N/A,N/A
10.0,Example 30,-2.0,-1.77,0.14,-1.56,0.9,N/A,N/A
Example 25,Example 3,0.65,-0.01,0.18,-0.01,0.86,N/A,N/A
Example 27,Example 4,0.32,1.73,0.14,1.62,1.06,N/A,N/A
Example 4,Example 3,-0.01,-0.59,0.07,-0.65,0.86,N/A,N/A
