Ligand1,Ligand2,Exp.,FEP,FEP Error,CCC,CCC Error,Solvation,Solvation Error
43.0,38.0,0.54,-0.49,0.08,-1.05,0.73,N/A,N/A
43.0,42.0,0.41,1.0,0.18,1.03,0.73,N/A,N/A
43.0,45.0,0.74,-0.27,0.2,0.26,0.53,N/A,N/A
17.0,16.0,-0.3,-1.04,0.07,-1.2,0.28,N/A,N/A
17.0,25.0,-0.8,-4.56,0.3,-4.02,0.54,N/A,N/A
17.0,45.0,-2.19,-3.3,0.21,-3.68,0.38,N/A,N/A
28.0,25.0,-3.57,-0.77,0.23,-1.38,0.94,N/A,N/A
28.0,30.0,-5.46,-2.75,0.25,-2.45,0.94,N/A,N/A
28.0,39.0,-5.29,-2.93,0.23,-2.62,0.93,N/A,N/A
22.0,21.0,0.53,-0.15,0.11,0.07,0.86,N/A,N/A
22.0,26.0,0.07,0.07,0.25,0.49,0.95,N/A,N/A
22.0,32.0,0.73,0.73,0.22,0.09,0.95,N/A,N/A
16.0,14.0,0.95,0.96,0.11,0.98,0.51,N/A,N/A
16.0,15.0,1.59,1.7,0.08,1.77,0.4,N/A,N/A
16.0,20.0,-1.4,-1.06,0.16,-1.66,0.86,N/A,N/A
16.0,19.0,-1.44,-1.81,0.09,-1.46,0.86,N/A,N/A
30.0,33.0,0.58,1.8,0.19,2.34,0.94,N/A,N/A
30.0,37.0,0.17,-0.95,0.18,-1.19,0.38,N/A,N/A
21.0,20.0,-0.94,-0.89,0.25,-0.49,0.86,N/A,N/A
21.0,41.0,-1.52,-3.51,0.25,-3.14,0.95,N/A,N/A
21.0,29.0,0.5,-0.96,0.22,-1.1,0.95,N/A,N/A
21.0,26.0,-0.46,0.85,0.41,0.43,0.95,N/A,N/A
24.0,42.0,-1.17,-2.7,0.3,-2.67,0.73,N/A,N/A
24.0,33.0,-0.76,-2.49,0.24,-2.52,0.73,N/A,N/A
38.0,29.0,2.12,2.09,0.21,1.53,0.73,N/A,N/A
31.0,25.0,2.13,2.67,0.27,2.04,0.63,N/A,N/A
31.0,37.0,0.41,-0.86,0.14,-0.23,0.63,N/A,N/A
41.0,39.0,-0.24,0.17,0.1,0.24,0.95,N/A,N/A
41.0,40.0,0.09,0.19,0.09,0.49,0.85,N/A,N/A
29.0,33.0,-1.84,1.41,0.39,0.71,0.95,N/A,N/A
20.0,35.0,-0.82,-1.83,0.2,-2.03,0.35,N/A,N/A
42.0,13.0,0.24,-0.38,0.14,-0.32,0.42,N/A,N/A
35.0,18.0,0.54,3.4,0.13,3.55,0.35,N/A,N/A
35.0,27.0,3.04,0.24,0.29,0.21,0.29,N/A,N/A
35.0,37.0,0.0,-1.02,0.12,-1.41,0.39,N/A,N/A
35.0,36.0,0.24,-0.26,0.16,-0.19,0.38,N/A,N/A
44.0,32.0,1.96,2.15,0.22,2.26,0.65,N/A,N/A
44.0,36.0,0.24,-0.36,0.25,-0.47,0.65,N/A,N/A
18.0,13.0,-0.3,-2.25,0.25,-1.89,0.42,N/A,N/A
18.0,15.0,3.27,1.97,0.1,1.9,0.4,N/A,N/A
18.0,45.0,-0.21,-2.2,0.16,-2.35,0.42,N/A,N/A
40.0,19.0,0.45,2.12,0.14,2.36,0.94,N/A,N/A
40.0,33.0,0.08,2.2,0.19,2.26,0.94,N/A,N/A
19.0,32.0,1.18,0.41,0.16,0.31,0.93,N/A,N/A
19.0,25.0,0.94,-2.05,0.3,-1.36,0.94,N/A,N/A
33.0,32.0,1.55,1.06,0.23,0.4,1.29,N/A,N/A
33.0,34.0,-0.08,-2.37,0.13,-1.84,1.29,N/A,N/A
27.0,36.0,-2.8,-0.37,0.4,-0.4,0.4,N/A,N/A
13.0,14.0,2.93,2.59,0.23,3.01,0.42,N/A,N/A
39.0,32.0,1.96,2.53,0.19,2.91,0.95,N/A,N/A
32.0,23.0,0.53,2.36,0.31,1.45,1.29,N/A,N/A
23.0,14.0,0.67,1.13,0.51,0.69,0.51,N/A,N/A
23.0,34.0,-2.16,-3.22,0.28,-3.69,1.29,N/A,N/A
34.0,36.0,-0.09,-0.54,0.15,-0.48,0.65,N/A,N/A
