"Title","glide gscore","Exp. ΔG"
"30",-10.0639760849575008,-11.6300000000000008
"13",-10.0483085402004004,-11.2200000000000006
"42",-9.9030154891454405,-11.4600000000000009
"31",-9.8256493619725997,-11.8699999999999992
"26",-9.8081075880058304,-10.1600000000000001
"40",-9.8008083306981604,-11.1300000000000008
"38",-9.4494203400149104,-11.3200000000000003
"23",-9.4345715290340504,-8.9600000000000009
"20",-9.3953118983388801,-10.6400000000000006
"34",-9.3584194336466702,-11.1300000000000008
"35",-9.3184432243022002,-11.4600000000000009
"36",-9.3164164241233500,-11.2200000000000006
"37",-9.2943336313746006,-11.4600000000000009
"21",-9.4935699368976199,-9.6999999999999993
"41",-9.1971133286383306,-11.2200000000000006
"29",-9.1877043075981195,-9.1999999999999993
"44",-9.1816058352542100,-11.4600000000000009
"45",-9.1641817254662907,-11.1300000000000008
"39",-9.1209112093883196,-11.4600000000000009
"43",-9.0876652563629605,-11.8699999999999992
"32",-9.0564025603519394,-9.4900000000000002
"24",-9.0225199510141803,-10.2799999999999994
"16",-8.9992941316348993,-9.2400000000000002
"15",-8.9163344497414396,-7.6399999999999997
"19",-8.9115117958768995,-10.6699999999999999
"22",-9.1228466319157597,-10.2200000000000006
"33",-8.8683723048632395,-11.0500000000000007
"27",-8.8393344537227403,-8.4100000000000001
"28",-8.7949896893358002,-6.1699999999999999
"25",-8.7208484946400500,-9.7400000000000002
"18",-8.6606448521805408,-10.9100000000000001
"17",-8.5996148195828201,-8.9399999999999995
"14",-7.7192726739776996,-8.2899999999999991
