Affinity unit, # ,Ligand,Quality,Pred. ΔG,Pred. Error,Exp. ΔG,Structure
kcal/mol,1,1a,0,-8.0,0.18,-8.55,[#1][c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[c-0X3]1[n-0X2][c-0X3]2[c-0X3]([c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]2[#1])[#1])[#1])[c-0X3](=[O-0X1])[n-0X3]1[#1])[#1])[#1]
kcal/mol,2,1b,0,-9.61,0.17,-9.94,[#1][c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[c-0X3]1[n-0X2][c-0X3]2[c-0X3]([c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]2[#1])[#1])[#1])[c-0X3](=[O-0X1])[n-0X3]1[#1])[#1])[O-0X2][C-0X4]([#1])([#1])[#1]
kcal/mol,3,3a,0,-12.84,0.22,-11.0,[#1][n-0X3]1[c-0X3](=[O-0X1])[c-0X3]2[c-0X3]([c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]2[#1])[#1])[#1])[n-0X2][c-0X3]1[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]1[#1])[#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([C-0X4]([#1])([#1])[#1])[C-0X4]([#1])([#1])[#1])[#1]
kcal/mol,4,3b,0,-12.45,0.24,-11.52,[#1][c-0X3]1[c-0X3]2[n-0X2][c-0X3]([n-0X3]([#1])[c-0X3](=[O-0X1])[c-0X3]2[c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[F-0X1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]1[#1])[#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([C-0X4]([#1])([#1])[#1])[C-0X4]([#1])([#1])[#1])[#1]
kcal/mol,5,5a,0,-11.53,0.17,-10.76,[#1][c-0X3]1[c-0X3]2[n-0X2][c-0X3]([n-0X3]([#1])[c-0X3](=[O-0X1])[c-0X3]2[c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]1[#1])[#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([C-0X4]([#1])([#1])[#1])[O-0X2][#1])[#1]
kcal/mol,6,5b,0,-12.27,0.2,-10.47,[#1][c-0X3]1[c-0X3]2[n-0X2][c-0X3]([n-0X3]([#1])[c-0X3](=[O-0X1])[c-0X3]2[c-0X3]([F-0X1])[c-0X3]([c-0X3]1[#1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]1[#1])[#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([C-0X4]([#1])([#1])[#1])[O-0X2][#1])[#1]
kcal/mol,7,5c,0,-12.03,0.18,-9.96,[#1][c-0X3]1[c-0X3]2[n-0X2][c-0X3]([n-0X3]([#1])[c-0X3](=[O-0X1])[c-0X3]2[c-0X3]([Cl-0X1])[c-0X3]([c-0X3]1[#1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]1[#1])[#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([C-0X4]([#1])([#1])[#1])[O-0X2][#1])[#1]
kcal/mol,8,5d,0,-10.87,0.18,-10.89,[#1][c-0X3]1[c-0X3]2[n-0X2][c-0X3]([n-0X3]([#1])[c-0X3](=[O-0X1])[c-0X3]2[c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[F-0X1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]1[#1])[#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([C-0X4]([#1])([#1])[#1])[O-0X2][#1])[#1]
kcal/mol,9,5e,0,-10.83,0.17,-10.11,[#1][c-0X3]1[c-0X3]2[n-0X2][c-0X3]([n-0X3]([#1])[c-0X3](=[O-0X1])[c-0X3]2[c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[Cl-0X1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]1[#1])[#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([C-0X4]([#1])([#1])[#1])[O-0X2][#1])[#1]
kcal/mol,10,5f,0,-11.63,0.18,-10.26,[#1][c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]2[c-0X3](=[O-0X1])[n-0X3]([#1])[c-0X3]([n-0X2][c-0X3]2[c-0X3]1[F-0X1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]1[#1])[#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([C-0X4]([#1])([#1])[#1])[O-0X2][#1])[#1])[#1]
