Ligand1,Ligand2,Exp.,FEP,FEP Error,CCC,CCC Error,Solvation,Solvation Error
3a,7.0,2.6,3.55,0.06,3.47,0.35,N/A,N/A
3a,5m,-1.69,0.26,0.1,0.31,0.35,N/A,N/A
3a,3b,-0.52,0.41,0.02,0.44,0.08,N/A,N/A
5f,5a,-0.5,-0.04,0.01,0.09,0.6,N/A,N/A
5f,5i,-1.82,-1.56,0.02,-1.6,0.38,N/A,N/A
5f,5l,0.17,-0.42,0.02,-0.51,0.6,N/A,N/A
5l,5e,-0.02,1.14,0.04,1.3,0.48,N/A,N/A
5l,5j,-0.99,0.48,0.02,0.58,0.58,N/A,N/A
5l,5p,-0.41,1.97,0.33,1.61,0.6,N/A,N/A
5g,5a,0.05,0.4,0.02,0.42,0.49,N/A,N/A
5g,5b,0.33,-0.08,0.04,-0.32,0.61,N/A,N/A
5g,5d,-0.08,0.78,0.04,1.01,0.53,N/A,N/A
5g,5h,0.76,1.6,0.04,1.59,0.61,N/A,N/A
1b,1a,1.39,1.65,0.04,1.55,0.35,N/A,N/A
1b,5h,-0.11,-0.79,0.11,-0.71,0.5,N/A,N/A
1b,5d,-0.95,-1.1,0.08,-1.28,0.57,N/A,N/A
1b,5n,-0.78,-1.4,0.11,-1.25,0.57,N/A,N/A
1b,5c,-0.02,-2.44,0.07,-2.39,0.5,N/A,N/A
5e,5a,-0.65,-0.77,0.04,-0.69,0.53,N/A,N/A
5e,5i,-1.97,-2.34,0.05,-2.38,0.64,N/A,N/A
5e,5h,0.06,0.19,0.06,0.48,0.73,N/A,N/A
5e,5k,-0.86,0.1,0.04,0.09,0.4,N/A,N/A
5e,5p,-0.4,0.1,0.24,0.31,0.6,N/A,N/A
5e,5n,-0.61,0.29,0.39,-0.06,0.73,N/A,N/A
5i,5a,1.32,1.7,0.04,1.69,0.53,N/A,N/A
5i,5o,0.04,0.74,0.51,0.5,0.64,N/A,N/A
5i,5m,-0.61,0.68,0.02,0.85,0.53,N/A,N/A
5b,5o,-1.56,-0.18,0.27,-0.45,0.73,N/A,N/A
5b,5n,-0.24,1.35,0.2,1.37,0.73,N/A,N/A
5b,5c,0.51,0.16,0.04,0.22,0.5,N/A,N/A
5b,5j,-0.61,0.76,0.02,0.71,0.44,N/A,N/A
5h,5m,-2.64,-2.37,0.04,-2.01,0.73,N/A,N/A
5a,5k,-0.2,0.78,0.03,0.78,0.4,N/A,N/A
5a,5j,-0.33,0.04,0.02,-0.02,0.58,N/A,N/A
5a,5d,-0.13,0.53,0.01,0.59,0.54,N/A,N/A
5a,5n,0.04,0.3,0.3,0.63,0.6,N/A,N/A
5a,5c,0.8,-0.4,0.03,-0.51,0.46,N/A,N/A
5k,5d,0.08,-0.17,0.01,-0.19,0.33,N/A,N/A
7.0,3b,-3.12,-3.0,0.08,-3.03,0.08,N/A,N/A
7.0,5d,-2.49,-1.68,0.04,-1.73,0.25,N/A,N/A
7.0,5j,-2.69,-2.35,0.06,-2.35,0.35,N/A,N/A
5p,5n,-0.21,-0.22,0.19,-0.37,0.48,N/A,N/A
1a,5d,-2.33,-2.73,0.06,-2.83,0.35,N/A,N/A
5o,5m,-0.65,0.85,0.39,0.34,0.73,N/A,N/A
5d,5m,-1.8,-1.38,0.04,-1.44,0.57,N/A,N/A
