Ligand1,Ligand2,Exp.,FEP,FEP Error,CCC,CCC Error,Solvation,Solvation Error
CHEMBL3265015,CHEMBL3265011,0.85,1.21,0.17,1.18,0.85,N/A,N/A
CHEMBL3265015,CHEMBL3265017,-2.01,-3.1,0.14,-2.77,0.92,N/A,N/A
CHEMBL3265015,CHEMBL3265009,-0.82,-2.96,0.16,-2.99,0.73,N/A,N/A
CHEMBL3265015,CHEMBL3264999,-1.94,-4.01,0.25,-4.19,0.76,N/A,N/A
CHEMBL3265015,CHEMBL3265014,-0.91,-2.42,0.14,-2.29,0.59,N/A,N/A
CHEMBL3265015,CHEMBL3259820,-1.09,-2.49,0.17,-2.71,0.92,N/A,N/A
CHEMBL3265031,CHEMBL3265024,0.29,2.08,0.2,1.86,0.29,N/A,N/A
CHEMBL3265031,CHEMBL3265037,-0.7,0.14,0.1,0.26,0.25,N/A,N/A
CHEMBL3265031,CHEMBL3265030_n,0.6,-0.02,0.17,0.08,0.29,N/A,N/A
CHEMBL3265021,CHEMBL3265011,2.25,3.98,0.16,3.97,0.64,N/A,N/A
CHEMBL3265021,CHEMBL3265024,-0.9,1.17,0.11,1.05,0.53,N/A,N/A
CHEMBL3265021,CHEMBL3265022,0.1,0.57,0.08,0.4,0.54,N/A,N/A
CHEMBL3265021,CHEMBL3265020,-0.12,0.69,0.03,0.6,0.75,N/A,N/A
CHEMBL3265021,CHEMBL3265017,-0.6,0.18,0.1,0.02,0.79,N/A,N/A
CHEMBL3265021,CHEMBL3265035,-0.19,-1.04,0.17,-0.69,0.6,N/A,N/A
CHEMBL3265021,CHEMBL3265023,0.41,0.04,0.05,-0.18,0.79,N/A,N/A
CHEMBL3265021,CHEMBL3265013,1.08,-0.25,0.13,0.17,0.65,N/A,N/A
CHEMBL3264998,CHEMBL3264995,-0.67,-0.09,0.15,0.02,0.18,N/A,N/A
CHEMBL3264998,CHEMBL3265001,-0.31,-0.2,0.15,-0.31,0.18,N/A,N/A
CHEMBL3265035,CHEMBL3265024,-0.71,1.3,0.19,1.74,0.77,N/A,N/A
CHEMBL3265035,CHEMBL3264996,0.41,-0.71,0.23,-0.81,0.77,N/A,N/A
CHEMBL3265013,CHEMBL3265020,-1.2,0.03,0.12,0.43,1.0,N/A,N/A
CHEMBL3265013,CHEMBL3265023,-0.67,-0.72,0.11,-0.35,0.9,N/A,N/A
CHEMBL3265013,CHEMBL3265004,-1.05,-2.3,0.23,-2.62,0.84,N/A,N/A
CHEMBL3265013,CHEMBL3265012,-0.74,-0.29,0.07,-0.52,1.0,N/A,N/A
CHEMBL3265013,CHEMBL3259820,-0.76,-0.28,0.07,-0.09,0.92,N/A,N/A
CHEMBL3265036,CHEMBL3265016,-1.27,1.69,0.15,1.66,0.22,N/A,N/A
CHEMBL3265036,CHEMBL3265029,-0.7,0.7,0.09,0.73,0.22,N/A,N/A
CHEMBL3265034,CHEMBL3265026,0.12,1.61,0.16,1.98,0.76,N/A,N/A
CHEMBL3265034,CHEMBL3265027,1.16,1.31,0.09,1.07,0.76,N/A,N/A
CHEMBL3265034,CHEMBL3265037,-1.28,0.19,0.29,-0.08,0.51,N/A,N/A
CHEMBL3265034,CHEMBL3265033,-0.35,-0.25,0.28,-0.11,0.36,N/A,N/A
CHEMBL3265014,CHEMBL3265028,-0.61,-0.42,0.12,-0.39,0.48,N/A,N/A
CHEMBL3265014,CHEMBL3265022,-0.4,-0.23,0.15,-0.1,0.53,N/A,N/A
CHEMBL3265014,CHEMBL3265025,0.19,-0.32,0.1,-0.38,0.53,N/A,N/A
CHEMBL3265014,CHEMBL3265006,0.44,0.03,0.23,0.06,0.59,N/A,N/A
CHEMBL3265009,CHEMBL3265008,0.52,0.54,0.09,0.19,0.78,N/A,N/A
CHEMBL3265009,CHEMBL3265020,-0.71,0.65,0.12,0.8,0.78,N/A,N/A
CHEMBL3265009,CHEMBL3265005,-0.03,0.27,0.08,0.36,0.6,N/A,N/A
CHEMBL3265009,CHEMBL3265006,0.34,1.08,0.14,0.76,0.76,N/A,N/A
CHEMBL3265009,CHEMBL3265003,-0.52,-3.26,0.17,-2.87,0.6,N/A,N/A
CHEMBL3265017,CHEMBL3265026,0.12,1.17,0.11,1.5,0.78,N/A,N/A
CHEMBL3265017,CHEMBL3265024,-0.3,1.14,0.13,1.03,0.77,N/A,N/A
CHEMBL3265017,CHEMBL3265016,-0.2,0.96,0.04,0.93,0.75,N/A,N/A
CHEMBL3265017,CHEMBL3265027,1.16,0.69,0.07,0.59,0.91,N/A,N/A
CHEMBL3265017,CHEMBL3265020,0.48,0.91,0.15,0.57,1.0,N/A,N/A
CHEMBL3265017,CHEMBL3265032,0.42,-0.22,0.12,-0.23,0.65,N/A,N/A
CHEMBL3265017,CHEMBL3265002,0.87,-2.79,0.17,-2.23,1.0,N/A,N/A
CHEMBL3265017,CHEMBL3265029,0.37,0.11,0.06,-0.01,0.76,N/A,N/A
CHEMBL3265000,CHEMBL3264995,-0.57,-0.34,0.17,0.45,1.01,N/A,N/A
CHEMBL3265000,CHEMBL3264997,0.83,1.92,0.23,1.61,0.81,N/A,N/A
CHEMBL3265000,CHEMBL3264994,2.01,2.35,0.29,1.88,1.01,N/A,N/A
CHEMBL3265023,CHEMBL3265028,-0.53,0.19,0.12,0.3,0.47,N/A,N/A
CHEMBL3265023,CHEMBL3265022,-0.31,0.52,0.07,0.58,0.51,N/A,N/A
CHEMBL3265023,CHEMBL3265020,-0.53,0.79,0.07,0.78,0.9,N/A,N/A
CHEMBL3265004,CHEMBL3265001,-1.17,0.49,0.15,0.28,0.84,N/A,N/A
CHEMBL3265004,CHEMBL3264999,-0.56,1.18,0.18,1.05,0.83,N/A,N/A
CHEMBL3265004,CHEMBL3265002,0.25,0.22,0.2,0.25,0.71,N/A,N/A
CHEMBL3265004,CHEMBL3265003,0.04,-0.61,0.13,-0.62,0.74,N/A,N/A
CHEMBL3265029,CHEMBL3265016,-0.57,0.93,0.06,0.94,0.4,N/A,N/A
CHEMBL3265029,CHEMBL3265027,0.79,0.69,0.05,0.59,0.76,N/A,N/A
CHEMBL3265025,CHEMBL3265008,0.42,-0.2,0.11,-0.14,0.5,N/A,N/A
CHEMBL3265025,CHEMBL3265020,-0.8,0.59,0.13,0.47,0.53,N/A,N/A
CHEMBL3265012,CHEMBL3265010,0.41,0.32,0.22,0.7,1.03,N/A,N/A
CHEMBL3265012,CHEMBL3259820,-0.03,0.32,0.07,0.43,0.87,N/A,N/A
CHEMBL3265012,CHEMBL3265002,-0.07,-1.14,0.27,-1.85,1.03,N/A,N/A
CHEMBL3265037,CHEMBL3265032,1.71,0.48,0.06,0.33,0.51,N/A,N/A
CHEMBL3265016,CHEMBL3265005,1.36,-0.65,0.09,-0.8,0.6,N/A,N/A
CHEMBL3265016,CHEMBL3265020,0.68,-0.45,0.1,-0.36,0.75,N/A,N/A
CHEMBL3265032,CHEMBL3265022,0.27,0.68,0.14,0.61,0.51,N/A,N/A
CHEMBL3265032,CHEMBL3265027,0.74,0.74,0.11,0.82,0.65,N/A,N/A
CHEMBL3265032,CHEMBL3265033,-0.78,-0.2,0.13,-0.36,0.38,N/A,N/A
CHEMBL3264997,CHEMBL3264995,-1.41,-0.87,0.13,-1.16,0.8,N/A,N/A
CHEMBL3264997,CHEMBL3264994,1.17,0.29,0.17,0.27,0.81,N/A,N/A
CHEMBL3265028,CHEMBL3265027,0.68,0.51,0.06,0.5,0.48,N/A,N/A
CHEMBL3265028,CHEMBL3265030_n,-0.46,-0.99,0.08,-0.84,0.24,N/A,N/A
CHEMBL3265018,CHEMBL3265011,2.55,4.75,0.19,4.66,0.2,N/A,N/A
CHEMBL3265018,CHEMBL3265005,0.86,0.82,0.11,0.85,0.2,N/A,N/A
CHEMBL3265018,CHEMBL3265019,0.41,-0.45,0.04,-0.38,0.07,N/A,N/A
CHEMBL3265019,CHEMBL3265005,0.45,1.16,0.13,1.23,0.13,N/A,N/A
CHEMBL3265027,CHEMBL3265033,-1.51,-1.26,0.09,-1.18,0.54,N/A,N/A
CHEMBL3265027,CHEMBL3265020,-0.68,0.2,0.17,-0.01,0.91,N/A,N/A
CHEMBL3265027,CHEMBL3265010,0.19,-0.27,0.13,-0.26,0.78,N/A,N/A
CHEMBL3265027,CHEMBL3265030_n,-1.14,-1.08,0.08,-1.33,0.29,N/A,N/A
CHEMBL3265024,CHEMBL3265008,2.01,-1.05,0.11,-1.06,0.65,N/A,N/A
CHEMBL3264995,CHEMBL3264994,2.58,0.94,0.16,1.43,1.01,N/A,N/A
CHEMBL3264995,CHEMBL3265001,0.35,-0.43,0.14,-0.32,0.18,N/A,N/A
CHEMBL3265033,CHEMBL3265022,1.05,0.92,0.12,0.97,0.54,N/A,N/A
CHEMBL3265020,CHEMBL3265026,-0.35,1.07,0.14,0.93,0.6,N/A,N/A
CHEMBL3265008,CHEMBL3259820,-0.79,0.16,0.13,0.09,0.65,N/A,N/A
