Ligand1,Ligand2,Exp.,Exp Error,FEP,FEP Error,Unsigned Diff,CCC,CCC Error,Energy Conv.,Lig. RMSD,REST Exch.,CCC Conv.,Solvent Trajectory,Complex Trajectory,Vacuum Trajectory,Protocol
19a-bindingpose2,19a-bindingpose1,0.0,N/A,0.12,0.05,0.12,0.0,0.17,Good,Fair,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
19a-bindingpose2,35d,-0.68,N/A,-0.45,0.06,0.23,-0.15,0.17,Good,Fair,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
19a-bindingpose2,35r,-1.88,N/A,-2.38,0.1,0.5,-1.84,0.17,Good,Fair,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
19c-bindingpose1,19a-bindingpose1,0.02,N/A,1.25,0.09,1.22,1.3,0.18,Good,Fair,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
19c-bindingpose1,19d-bindingpose2,0.34,N/A,-0.69,0.05,1.03,-0.54,0.18,Good,Fair,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
19c-bindingpose1,35j-S,-1.75,N/A,-1.17,0.15,0.58,-0.48,0.18,Good,Fair,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
19c-bindingpose2,19c-bindingpose1,0.0,N/A,0.32,0.05,0.32,0.0,0.18,Good,Fair,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
19c-bindingpose2,22b-bindingpose2,-0.09,N/A,0.1,0.15,0.19,0.11,0.18,Good,Fair,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
19c-bindingpose2,35q,-1.87,N/A,-0.13,0.17,1.74,0.07,0.18,Good,Fair,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
19d-bindingpose1,19c-bindingpose1,-0.34,N/A,0.34,0.04,0.67,0.54,0.18,Good,Fair,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
19d-bindingpose1,19d-bindingpose2,0.0,N/A,-0.61,0.04,0.61,0.0,0.18,Good,Fair,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
19d-bindingpose2,35s,-1.33,N/A,1.5,0.08,2.83,1.52,0.17,Good,Fair,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
22a,22d-bindingpose1,-0.01,N/A,2.64,0.15,2.65,-0.2,0.24,Good,Fair,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
22b-bindingpose1,22b-bindingpose2,0.0,N/A,0.21,0.04,0.21,0.0,0.17,Good,Good,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
22b-bindingpose1,35b,0.46,N/A,1.79,0.1,1.33,2.1,0.16,Good,Fair,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
22d-bindingpose1,22g-bindingpose2,-1.28,N/A,-3.26,0.08,1.98,-0.59,0.19,Good,Good,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
22d-bindingpose2,22d-bindingpose1,0.0,N/A,3.15,0.11,3.15,0.0,0.2,Good,Fair,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
22e-bindingpose1,22e-bindingpose2,0.0,N/A,-1.64,0.1,1.64,0.0,0.2,Good,Good,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
22e-bindingpose1,22g-bindingpose2,-0.8,N/A,-1.87,0.08,1.07,-0.57,0.19,Good,Good,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
22e-bindingpose2,35k,0.29,N/A,0.35,0.11,0.06,0.7,0.19,Good,Fair,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
22f-bindingpose1,35l,-0.54,N/A,-0.63,0.07,0.09,0.49,0.17,Good,Fair,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
22f-bindingpose2,22d-bindingpose2,0.81,N/A,0.28,0.04,0.52,0.37,0.19,Good,Good,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
