Affinity unit, # ,Ligand,Quality,Pred. ΔG,Pred. Error,Exp. ΔG,Structure
kcal/mol,1,CHEMBL1078774,0,-9.74,0.29,-10.6,[#1][C-0X4]([#1])([#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([C-0X4]([#1])([#1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]2[N-0X3]([#1])[C-0X4]([#1])([C-0X4]3([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[O-0X2][C-0X4]3([#1])[c-0X3]2[c-0X3]1[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([O-0X2][#1])[c-0X3]([c-0X3]1[#1])[F-0X1])[#1])[#1]
kcal/mol,2,CHEMBL1093087,0,-9.46,0.29,-10.53,[#1][N+X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[N-0X3]([C-0X4]([#1])([#1])[C-0X4]1([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]2([#1])[C-0X4]([#1])([N-0X3]([#1])[c-0X3]3[c-0X3]([#1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]3[C-0X4]2([#1])[O-0X2]1)[#1])[C-0X4]([F-0X1])([F-0X1])[F-0X1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[#1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[#1])[#1]
kcal/mol,3,CHEMBL1082249,0,-11.65,0.29,-11.22,[#1][C-0X4]([#1])([#1])[C-0X3](=[O-0X1])[N-0X3]([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[N+X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]1([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]2([#1])[C-0X4]([#1])([N-0X3]([#1])[c-0X3]3[c-0X3]([F-0X1])[c-0X3]([c-0X3]([Br-0X1])[c-0X3]([c-0X3]3[C-0X4]2([#1])[O-0X2]1)[#1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[#1])[#1]
kcal/mol,4,CHEMBL1089393,0,-8.85,0.28,-8.38,[#1][C-0X4]1([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]2([#1])[C-0X4]([#1])([N-0X3]([#1])[c-0X3]3[c-0X3]([#1])[c-0X3]([c-0X3]([Cl-0X1])[c-0X3]([c-0X3]3[C-0X4]2([#1])[O-0X2]1)[#1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[#1])[#1]
kcal/mol,5,CHEMBL1077227,0,-10.59,0.26,-11.32,[#1][C-0X4]([#1])([#1])[N+X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]1([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]2([#1])[C-0X4]([#1])([N-0X3]([#1])[c-0X3]3[c-0X3]([#1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]3[C-0X4]2([#1])[O-0X2]1)[#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([C-0X4]([#1])([#1])[#1])[C-0X4]([#1])([#1])[#1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[s-0X2]1)[#1]
kcal/mol,6,CHEMBL1078691,0,-10.64,0.27,-10.19,[#1][C-0X4]([#1])([#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([C-0X4]([#1])([#1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]2[N-0X3]([#1])[C-0X4]([#1])([C-0X4]3([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[O-0X2][C-0X4]3([#1])[c-0X3]2[c-0X3]1[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([O-0X2][#1])[c-0X3]([c-0X3]1[#1])[#1])[#1])[#1]
kcal/mol,7,CHEMBL1086409,0,-9.78,0.28,-9.87,[#1][C-0X4]([#1])([#1])[N+X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]1([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]2([#1])[C-0X4]([#1])([N-0X3]([#1])[c-0X3]3[c-0X3]([#1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]3[C-0X4]2([#1])[O-0X2]1)[#1])[C-0X4]([F-0X1])([F-0X1])[F-0X1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([F-0X1])[c-0X3]([c-0X3]1[#1])[#1])[#1]
kcal/mol,8,CHEMBL1082248,0,-11.01,0.28,-11.63,[#1][C-0X4]([#1])([#1])[N+X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]1([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]2([#1])[C-0X4]([#1])([N-0X3]([#1])[c-0X3]3[c-0X3]([F-0X1])[c-0X3]([c-0X3]([Br-0X1])[c-0X3]([c-0X3]3[C-0X4]2([#1])[O-0X2]1)[#1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[#1])[#1]
kcal/mol,9,CHEMBL1084678,0,-13.63,0.3,-11.13,[#1][C-0X4]([#1])([#1])[N-0X3]([C-0X4]([#1])([#1])[C-0X4]1([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]2([#1])[C-0X4]([#1])([N-0X3]([#1])[c-0X3]3[c-0X3]([#1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]3[C-0X4]2([#1])[O-0X2]1)[#1])[C-0X4]([F-0X1])([F-0X1])[F-0X1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[#1])[#1])[S-0X4](=[O-0X1])(=[O-0X1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[N+X4]([#1])([#1])[#1]
kcal/mol,10,CHEMBL1084115,0,-9.76,0.27,-9.44,[#1][C-0X4]([#1])([#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([C-0X4]([#1])([#1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]2[N-0X3]([#1])[C-0X4]([#1])([C-0X4]3([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[O-0X2][C-0X4]3([#1])[c-0X3]2[c-0X3]1[#1])[c-0X3]1[c-0X3]([#1])[s-0X2][c-0X3]([c-0X3]1[#1])[#1])[#1]
