Ligand1,Ligand2,Exp.,FEP,FEP Error,CCC,CCC Error,Solvation,Solvation Error
CHEMBL1078774,CHEMBL1089056,1.16,-0.33,0.22,0.24,0.81,N/A,N/A
CHEMBL1078774,CHEMBL1088740,1.9,1.55,0.25,0.98,0.81,N/A,N/A
CHEMBL1093087,CHEMBL1084678,-0.59,-4.28,0.24,-4.17,1.02,N/A,N/A
CHEMBL1093087,CHEMBL1096003,-1.33,-2.5,0.31,-2.53,0.8,N/A,N/A
CHEMBL1093087,CHEMBL1086409,0.66,-0.13,0.29,-0.32,1.02,N/A,N/A
CHEMBL1093087,CHEMBL1083517,-0.92,-2.14,0.25,-2.04,0.82,N/A,N/A
CHEMBL1082249,CHEMBL1086409,1.34,1.53,0.15,1.87,1.26,N/A,N/A
CHEMBL1082249,CHEMBL1077227,-0.11,1.42,0.26,1.06,1.26,N/A,N/A
CHEMBL1082249,CHEMBL1082248,-0.41,0.25,0.17,0.63,1.16,N/A,N/A
CHEMBL1082249,CHEMBL1096003,-0.65,0.01,0.36,-0.35,1.03,N/A,N/A
CHEMBL1089393,CHEMBL1093088,-2.84,-0.59,0.09,-0.69,0.52,N/A,N/A
CHEMBL1089393,CHEMBL1088740,-0.32,0.19,0.03,0.08,0.52,N/A,N/A
CHEMBL1089393,CHEMBL1085895,-2.48,-2.49,0.21,-2.28,0.44,N/A,N/A
CHEMBL1078691,CHEMBL1089056,0.75,1.21,0.16,1.14,0.56,N/A,N/A
CHEMBL1078691,CHEMBL1093088,-1.03,1.03,0.28,1.1,0.56,N/A,N/A
CHEMBL1086409,CHEMBL1082248,-1.75,-1.23,0.09,-1.24,1.08,N/A,N/A
CHEMBL1086409,CHEMBL1085666,-0.63,-0.82,0.12,-0.74,1.08,N/A,N/A
CHEMBL1086409,CHEMBL1084676,-0.84,-0.8,0.14,-0.87,1.13,N/A,N/A
CHEMBL1086409,CHEMBL1083517,-1.58,-1.72,0.15,-1.72,1.04,N/A,N/A
CHEMBL1086409,CHEMBL1086410,-1.58,-0.12,0.09,-0.5,1.26,N/A,N/A
CHEMBL1086409,CHEMBL1084678,-1.25,-4.38,0.16,-3.85,1.26,N/A,N/A
CHEMBL1082248,CHEMBL1084678,0.5,-2.84,0.16,-2.62,1.16,N/A,N/A
CHEMBL1082248,CHEMBL1086410,0.17,1.01,0.09,0.74,1.36,N/A,N/A
CHEMBL1082248,CHEMBL1083517,0.17,-0.15,0.17,-0.48,1.04,N/A,N/A
CHEMBL1082248,CHEMBL1084143,-0.24,-2.52,0.17,-1.74,1.36,N/A,N/A
CHEMBL1082248,CHEMBL1096002,0.5,0.06,0.11,0.18,1.23,N/A,N/A
CHEMBL1082248,CHEMBL1083836,0.77,0.88,0.07,0.74,0.9,N/A,N/A
CHEMBL1084678,CHEMBL1084935,0.59,3.4,0.18,4.2,1.36,N/A,N/A
CHEMBL1084678,CHEMBL1084431,1.32,3.84,0.27,3.63,1.09,N/A,N/A
CHEMBL1084678,CHEMBL1077204,0.08,1.26,0.46,1.26,1.36,N/A,N/A
CHEMBL1084678,CHEMBL1084143,-0.74,0.47,0.28,0.88,1.12,N/A,N/A
CHEMBL1084678,CHEMBL1084676,0.41,2.9,0.39,2.98,0.86,N/A,N/A
CHEMBL1084678,CHEMBL1084677,-0.33,2.53,0.17,2.32,1.12,N/A,N/A
CHEMBL1084115,CHEMBL1078998,-0.93,-0.25,0.12,-0.38,0.71,N/A,N/A
CHEMBL1084115,CHEMBL1088740,0.74,0.85,0.13,1.0,0.71,N/A,N/A
CHEMBL1084115,CHEMBL1089056,0.0,0.28,0.08,0.26,0.66,N/A,N/A
CHEMBL1084431,CHEMBL1083517,-1.65,-1.56,0.2,-1.5,0.87,N/A,N/A
CHEMBL1084431,CHEMBL1096002,-1.32,-0.81,0.22,-0.83,0.91,N/A,N/A
CHEMBL1084431,CHEMBL1085666,-0.7,-0.26,0.21,-0.51,1.09,N/A,N/A
CHEMBL1085895,CHEMBL1078998,0.49,1.08,0.25,0.99,0.76,N/A,N/A
CHEMBL1085895,CHEMBL1088740,2.16,2.06,0.19,2.36,0.76,N/A,N/A
CHEMBL1084677,CHEMBL1083836,0.6,0.93,0.12,1.03,0.9,N/A,N/A
CHEMBL1084677,CHEMBL1085692,0.13,-1.27,0.15,-1.49,1.12,N/A,N/A
CHEMBL1084677,CHEMBL1084676,0.74,0.59,0.17,0.66,0.9,N/A,N/A
CHEMBL1084677,CHEMBL1096003,-0.41,-0.54,0.24,-0.69,0.76,N/A,N/A
CHEMBL1077227,CHEMBL1085666,0.82,-0.27,0.14,0.07,1.09,N/A,N/A
CHEMBL1077227,CHEMBL1078998,0.95,0.39,0.1,0.45,0.41,N/A,N/A
CHEMBL1077227,CHEMBL1086410,-0.13,0.56,0.06,0.32,1.26,N/A,N/A
CHEMBL1077227,CHEMBL1084935,0.79,1.68,0.17,1.16,1.14,N/A,N/A
CHEMBL1086410,CHEMBL1096002,0.33,-0.55,0.13,-0.56,0.86,N/A,N/A
CHEMBL1086410,CHEMBL1089056,2.02,0.83,0.09,0.77,0.41,N/A,N/A
CHEMBL1086410,CHEMBL1084935,0.92,1.66,0.18,0.84,1.36,N/A,N/A
CHEMBL1083517,CHEMBL1085666,0.95,1.15,0.19,0.98,0.98,N/A,N/A
CHEMBL1096003,CHEMBL1084143,0.0,-0.22,0.14,-0.76,1.03,N/A,N/A
CHEMBL1077204,CHEMBL1083836,0.19,2.04,0.13,2.1,0.82,N/A,N/A
CHEMBL1077204,CHEMBL1084143,-0.82,0.27,0.57,-0.38,1.36,N/A,N/A
CHEMBL1077204,CHEMBL1084676,0.33,1.13,0.16,1.72,1.23,N/A,N/A
CHEMBL1083836,CHEMBL1085666,0.35,-0.24,0.16,-0.24,0.83,N/A,N/A
CHEMBL1083836,CHEMBL1096002,-0.27,-0.57,0.15,-0.56,0.8,N/A,N/A
CHEMBL1085692,CHEMBL1096002,0.2,1.51,0.14,1.96,1.23,N/A,N/A
CHEMBL1085692,CHEMBL1084676,0.61,2.81,0.24,2.14,1.23,N/A,N/A
CHEMBL1096002,CHEMBL1084935,0.59,0.87,0.19,1.41,1.13,N/A,N/A
CHEMBL1089056,CHEMBL1088740,0.74,0.48,0.06,0.74,0.81,N/A,N/A
CHEMBL1089056,CHEMBL1078998,-0.93,-0.8,0.09,-0.64,0.76,N/A,N/A
CHEMBL1093088,CHEMBL1088740,2.52,0.8,0.13,0.77,0.56,N/A,N/A
